,Unnamed: 0,marca,nombre,presentacion,producto_id,precio,sucursal_id,semana,comercioid,banderaid,banderadescripcion,comerciorazonsocial,provincia,localidad,direccion,lat,lng,sucursalnombre,sucursaltipo
1179,1179,SIN MARCA,Amargo Citrus Cero Terma 1.35 Lt,1.35 lt,7790950135992,92.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1180,1180,PRONTO,Aperitivo Pronto Bitt 354 Ml,354.0 ml,7790950610581,65.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1181,1181,CHANDON,Vino Espumante Demi Sec Chandon 750 Ml,750.0 ml,7790975000190,470.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1182,1182,ALTOS DEL PLATA,Vino Tinto Cabernet Sauvignon Altos del Plata 750 Ml,750.0 ml,7790975017020,344.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1183,1183,ZORRO,Suavizante para Ropa Geranios Zorro 3D 900 Ml,900.0 ml,7790990012376,80.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1184,1184,PLUSBELLE,Jabon de Tocador Spa Relajante Plusbelle 375 Gr,375.0 gr,7790990586785,95.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1185,1185,ZORRO,Jabon Liquido Ropa Clasico Doypack Zorro 3 Lt,3.0 lt,7790990990223,443.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1186,1186,CELUSAL,Sal Entrefina en Estuche Celusal 1 Kg,1.0 kg,7791004000044,81.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1187,1187,TULIPÁN,Preservativos Ultra Fino Tulipan 6 Un,6.0 un,7791014121906,160.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1188,1188,CHANGO,Azucar Tipo A Chango 1 Kg,1.0 kg,7791100000481,56.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1189,1189,53,Arroz Largo Fino 53 1 Kg,1.0 kg,7791120032554,66.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
